,title,description,video_id,epilepsy_title,epilepsy_description
31,пОпробуй не ослепнуть ► BAD TRIP (Epilepsy Warning!) ► Грибы,Минус глаза. Приятного просмотра =-) ======================================================== Мощно же дошик мне по мозгам ударил...,8awyOAxl_U8,False,True
32,Jump in the CAAC [Epilepsy Warning],Honestly the worst video i've ever made.,1j-5rgyKzh4,False,True
33,EVERYBODY LOVES ME MEME ANIMATION |GIFT FOR ODIS| (epilepsy warning),Original:RaeBae Song: OneRepublic - Everybody loves me Inspired: https://www.youtube.com/watch?v=Z9ws4CRIqos ODIS: ...,37AU8GvDbeg,False,True
34,(Read Description) Someday  - Platformer (Zapnef) (Epilepsy Warning?),Warning: there are a lot of flashing lights in this game and the occasional jump scare. There is a blue flashwhen Zapnef teleports. There is also a yellow flash ...,nQCnj6X3iCo,False,True
35,WHAT ARE YOU THINKING ABOUT -PART 25- (EPILEPSY WARNING),Programs used: Clip Studio Paint Sony Vegas 13 Characters used: Oswald the Shuquit (Shuquit is a made up species I made) Youtube: Hey you're here!,WZahdi6I_AM,False,True
36,ECHO MAP part- 7 (small epilepsy warning),Remember when i got flash for Christmas 5 -6 months later i finished something also ignore the glitches movie maker messed up Voidsugar's MAP: ...,lydzkAP0eIQ,False,True
37,"bladee - Nike Just Do It @ Slaktkyrkan, Stockholm 2018 (Epilepsy Warning)",,JT5YNk8VaXY,False,True
38,(YTP) Vince rubs a slapchop (EPILEPSY WARNING),Entry for videogameapprentices infomercial collab.,qfEnLOuQp5A,False,True
39,animal crossing meme ( epilepsy warning ),"original by: https://www.youtube.com/user/momoniu09/videos comment there ya go, it was fun, but as you know my creativity it's pretty low, but anyways, thanks 4 ...",LOtw0Z-Hi7Y,False,True
40,SMILE | meme (Epilepsy Warning),Original by Getlost 꺼져 Original meme https://www.youtube.com/watch?v=NanhqTT6vYs music - Pinkie Pie smile HD.,u0vTShw6jzE,False,True
41,OCTOTHOTS MUSIC VIDEO (epilepsy warning),this shouldnt have taken me 3 weeks to make... too long BUT HERE IT IS song: https://www.youtube.com/watch?v=OJQyTnD74gk i used some royalty free ...,CvcDe1PfJFY,False,True
42,Crash meme (The Lego Batman Movie) [Epilepsy Warning?],"Soooo did I mention I like Batman? Well, I do, and I have for some 2 years now. But I only just saw the Lego Batman movie last week, and I love it to pieces.",0KjtVIDiCpM,False,True
43,【MMD MEME】 F.M.L 【EPILEPSY WARNING!!!】,"I SUCK AT THIS Sorry this turned out to be a crappy edit xDD, you can't even see the captions clearly lol Check out my DeviantArt here: ...",aeWwHZGO9Kk,False,True
44,Marshmello - TOGETHER (Bass Boosted) [Epilepsy Warning],Marshmello - TOGETHER (Bass Boosted) [Epilepsy Warning] MARSHMELLO: Spotify | http://spoti.fi/Marshmello SoundCloud ...,VUZUYQoa9xQ,True,True
45,Strobe Light Circuit (Epilepsy Warning),"Built up a strobe light circuit here, changes from original circuit are listed below. WARNING!!! HIGH VOLTAGES ARE LETHAL! Experiments undertaken by others ...",emAv6qB1eF0,False,True
46,Nico Evaluates - Mega Man 11 (Episode 5 - EPILEPSY WARNING!),"With over 26 years of experience on Mega Man games, 7 years of doing the 'Buster Only No Miss' Challenge and countless Snupster Races, as well as being a ...",7gMUwcA4VW0,False,True
47,my brain at 3 am (epilepsy warning),"I don't even know what this is... I made it instead of studying and this happened. Guys, sorry for the big gap but I didn't have the time to make a proper YTP.",ZBSYf05-YKU,False,True
48,sad bitch meme.mp4 (epilepsy warning),i've been creating a meme so i can do something while having bad time in my life don't judge me this is SB- my second ego. she comes from the depths of my ...,K7A6Nr3Umm4,False,True
49,LPS MV Mi Mi Mi (Epilepsy Warning),"HEY GUYS! I HOPE YOU ENJOY THIS MV!!! I love this song! I cannot stop listening to it! Thank you for watching, please enjoy! I do not own this audio All right to ...",GXMXLYnSLI8,False,True
50,(MMD) Angel of Darkness - Ayano Aishi (Epilepsy Warning),Characters by: YandereDev and Druelbozo Ayano by: nyehnyehnyehmeow http://nyehnyehnyehmeow.deviantart.com Stage: Anime-style Sky Dome by ...,1uPO5JJueFo,False,True
51,[SFM OC] Melody Meme [EPILEPSY WARNING],Woa original by: G.Gerald.,RdRfYVf5xok,False,True
52,Champions of Eteri Tutberidze [epilepsy warning],Shown figure skaters: -Evgenia Medvedeva -Yulia Lipnitskaya -Polina Tsurskaya -Alina Zagitova Music: Benny Benassi Magic Box Program: Sony Vegas Pro 13 ...,NhKn_BZR4Cg,False,True
53,[epilepsy warning] IDENTITES | Animation Meme,Original Meme: https://www.youtube.com/watch?v=Mx9MRXQzmo8 man im still garbage at frame by frame anything askdjfnaskfda Support me on Patreon: ...,ZSVLSVLtxNY,False,True
54,[SFM FNaF:SL/Undertale] baD flasH (EPILEPSY WARNING),Im running out of descriptions... meh heres your songs. Songs Used Undertale - Bonetrousle Xavier Wolf- Psycho Pass Voices in the Vid Papyrus - Waldston ...,0GSAC7FvNBc,False,True
55,(YTP) CURSED VIDEO (EPILEPSY WARNING),,Euq1ls-EqKM,False,True
56,DESTROY ME -  South Park [MEME] epilepsy warning,THIS TOOK ME SOOO MUCH TIME !! original : https://www.youtube.com/watch?v=OQK8puq2Yqo character by trey parker and matt stone logiciel used : paint ...,B3ynFwBoHMw,False,True
57,[epilepsy warning] Rom corruption stream,"Played some games, explained some stuff but not in much detail. IDK I had fun with it... -- Watch live at https://www.twitch.tv/coolguyramon Visit ...",LkwBoOTHQO0,False,True
58,road [BFB/XFOHV] [epilepsy warning?],im so tired this took so long heres the song! https://youtu.be/MtQEX9qk7xk BFB/XFOHV belongs to jacknjellify.,BoO03SZAJwg,False,True
59,MMD Creepypasta Bad End Night (Request) (EPILEPSY WARNING),More Creepypasta: https://www.youtube.com/watch?v=23lEnSX9_FQ https://www.youtube.com/watch?v=g2wiP-AxPIk Check out my DeviantART page: ...,aBte2zvyDJI,False,True
60,TF2 - SMILE meme (Epilepsy Warning!!),I'm not really happy with how it turned out but I legit got a migraine from making it and aaaaaaah I'm too lazy to redo it ! :'D Hope you guys like it !! :3 ☆Original ...,3kmj5Sio2qQ,False,True
61,Owen was her meme || Gift for Kyuchi scarlet ( epilepsy warning),Gift for : https://www.youtube.com/channel/UCe_FmTjTFnOR6M6g1wFjEZA Original by Darlinqq I hope you enjoy!,MkVNnnREOEk,False,True
62,►French Cover◄ WAVE 🌊【Ωmegata】⚠️EPILEPSY WARNING⚠️,Je ne suis PAS la vraie Omegata : http://puu.sh/z0OMw/4109e3c476.png Qui est Omegata ? : http://fr.utaite.wikia.com/wiki/Omega_Ta ⚠   Check the ...,MwQKgKHFGKw,False,True
63,Aishite meme (epilepsy warning),,sjMrkXkCNAk,False,True
64,M0ar Mashr00ms meme [eye strain/ epilepsy warning],Finally finished something after a month!! I- got really overwhelmed about how pretty bad my last video kinda did(imo) like.. idk but thank you guys so much for ...,qkvzSaY4IKA,False,True
65,Oh Yeah - Psychedelic Map - Completed! (Epilepsy warning (?)),"Finally! After so much time this is completed ;u; I'm really sorry about all this delay. But, thank very much to the awesome animators that has participated in the ...",sF4Yic1yDbU,False,True
66,pork soda [EDITING MEME]{bnha}((epilepsy warning)),"shinsou shinsou mah bruh o-------------------------------------o The timing is bad oh for fuck sake. Also in the end , he does have a body, the color is just too dark ...",bTgnwRHovNw,False,True
67,Zelda Breath of the Wild: The Evil Shiekah Tower - !Epilepsy Warning!,There is an evil shiekah tower lurking on the great plateau! My Channel: youtube.com/c/AnnoyingBokoblin My Website: www.AnnoyingBokoblin.zohosites.com ...,ywtTdMB9sMA,False,True
68,『MMD』~FUN FUN FUN!~ !EPILEPSY WARNING!,Model : by Angel503 Motion and Cam: Taho Cherry Wav: Kazoo Kid - Trap Remix.,65HlwgnRo28,False,True
69,(SFM|FNAF|OC|MEME) |Bi-polar|(EPILEPSY WARNING!),"Well, I wanted to make meme animation :) Only the big jamb in the end: (. Original meme:https://www.youtube.com/watch?v=ZNe9yiEEfgk...",ype6py4tJOE,False,True
70,Jingle Bells (Steviie Wonder Keanu Trap Remix)*Epilepsy Warning*,Hope you enjoy this Christmas song/remix and happy holidays.,cNKadbdgoTo,False,True
71,Reaction to Dashie Geometry Dash (Epilepsy Warning),Thank you guys for joining me again. Like before feel free to post your comments down below and let me know what y'all think. Original Video: ...,jVGmWfcZuDw,False,True
72,|PORK SODA MEME|SONIC FORCES|Infinite the Jackal|[EPILEPSY WARNING?|,"Omg, this is terrible.... Characters: -Infinite the Jackal(from Sonic the Hedgehog games) Original by: ...",zOSupgrEC6c,False,True
73,PPGxRRB ~ Heart Afire (EPILEPSY WARNING!),"HEYYYY!!!! I bet you guys didn't expect this! Well, i forgot this was a thing i was doing earlier, but i quit it cause i needed to do other things like school and such.",MkQW9YOylVM,False,True
74,EPILEPSY WARNING | BEAT SABER | Going double time!,"When beat saber adds a double time option, you gotta go double time! song : Flandre's haunted dungeon , double time.",575P000r0IA,False,True
75,[3.2] Vieira's Magma Orb Miner MoM (All 4 Guardians) [EPILEPSY WARNING],phoenix: 1:37 hydra: 9:15 minotaur: 12:25 chimera: 15:50 Build guide: https://www.pathofexile.com/forum/view-thread/1968981 Uber elder: ...,w7EBFUyPXSM,False,True
76,"bladee - Nike Just Do It @ Slaktkyrkan, Stockholm 2018 (Epilepsy Warning)",,JT5YNk8VaXY,False,True
77,[MMD x DDLC] ECHO (EPILEPSY WARNING),there's no Monika because I don't love her. Model by : moyonote Stage by : ? Motion by : moka.,DRPEmsRdU04,False,True
78,Sonic: Nazo Unleashed DX REACTION part 2(Epilepsy warning),Reaction to Sonic: Nazo Unleashed DX (https://www.youtube.com/watch?v=g-etGCr7SM4) Made with REACTION.CAM app: ...,70NDX0hgxXA,False,True
79,Oh meme Gift/contest for Sleepygrim. *EPILEPSY WARNING*,Here is one of my entries for a contest of Sleepygrim. Here is it:http://www.deviantart.com/journal/Contest-Ends-31st-August-691462894 Original meme of ...,xEnFiTreW-M,False,True
80,TRAPPED by CRAZY CATS!! | PUSS! (Rage Game) - EPILEPSY WARNING,"Click Here for More GTLive Action! ▻▻ http://bit.ly/1Oo7KH9 Watch the FULL STREAM!! ▻▻ https://bit.ly/2wraCiy Can't Stop, Won't Stop! Dude STOP!",v3EPuJB3ghE,False,True
81,Windows//MeMe {Epilepsy Warning!},It's Done im so Happy XD Hope you Like it uwu Audio belongs to rightful owners.,ghZbmZaAdqM,False,True
82,**EPILEPSY WARNING** Pleb to Pro: How to Airsoft Tactical Light,EPILEPSY WARNING** Pleb to Pro: How to Series is a series of instructional videos from Amped Airsoft helping players from all walks of the game with ...,Aj-Az6P5Bso,True,True
83,Señoir Bumbo Cactoni Meme (Epilepsy Warning),"Don't watch if you have seizures... I made this in about four hours in Blender (Cycles engine, you can tell by the graininess) Rendering time took about five and a ...",-5oDJUgw79c,False,True
84,[S] Kampia: Enter (EPILEPSY WARNING!),"[S] to mine fan adventure ""PointZero"". Video is mine, but this awesome song belongs to Ducky Senpai Song name: Sburban Glitch 2.0 - Homestuck Fan Music ...",5I3cmDwbr6k,False,True
85,smile | MEME| Gift for SleepyKinq (Epilepsy Warning)(Error_Elli),original: https://www.youtube.com/watch?v=NanhqTT6vYs ----------------------------------------------------------- i love Sleepy senpai. Thank you so much for watching!,FvFdSuWfowE,False,True
86,Universe Inside You [Meme flipaclip] //the bloody heart// !EPILEPSY WARNING!,Use     FlipaClip (12 fps) Instagram: https://www.instagram.com/moody_girl_... Google+: P.Zasky Hangout: wilgagh@gmail.com (my 2 chennal) Wattpad: ...,ukS6Zq9OUms,False,True
87,SORRY [Epilepsy warning ?] OC Animatic,I just wanted to draw some angry and sad people ¯\_(ツ)_/¯. Edited with ▻ Paint Tool Sai & Sony Vegas Pro Song ▻ Sorry About Your Parents by Icon For Fire ...,770B6fFIdNc,False,True
88,Poseidon MEME (epilepsy warning?),я надеюсь попасть в рандомную подборку - https://www.youtube.com/c/DarkBF2 Здесь вы можете меня найти моя страничка в вк...,GzUEqNd9R9g,False,True
89,DREAMS| MEME [horror warning and epilepsy warning(?)],original - was deleted but the name of the animator is 율(Yultaek) ---------------------------------------------------------------------------- song ...,Ml7WJhidPNw,False,True
90,(MMDxFNAFHS) BOOYAH! (EPILEPSY WARNING!!),ADVERTENCIA!!!! Este vídeo es algo epiléptico~ hasta yo me maree :'v xD si lo ves es bajo tu responsabilidad~ Tal vez sea la primera y ultima vez que hago un ...,RnuN_rhfDc8,False,True
91,Top 10 Most HATED Warrior Cats (Epilepsy Warning),Controversial alert* Other Stuff: https://www.youtube.com/watch?v=JuWiihgmYbk.,SUQDAJz28hk,False,True
92,[EPILEPSY WARNING!] Selena Gomez & Noah Cyrus - Fetish (Galantis Remix) / Again (Mashup),If any of y'all have an epilepsy problem or something of the sort due to flashing lights I suggest looking away from the visual. Fetish (Galantis Remix) X Again ...,96SKK6Bz8fk,True,True
93,LOGIC GATES Update! LIGHT STRIPS! Bonus Scrap Mechanic Gameplay (Epilepsy Warning),"Welcome to another episode of Scrap Mechanic Gameplay! In this episode of Scrap Mechanic Gameplay, we take a look at the new Logic Gates and Timers in ...",S61hUAwfkig,False,True
94,Mars Argo - Rejected Mountain Dew Commercial [ EPILEPSY WARNING ],All rights to Mars Argo and Titanic Sinclair.,5YWKAPyowvs,False,True
95,Really Bad Tomb Raider Level Editor Games! (Part 1) EPILEPSY WARNING AT 51:07!!,"EPILEPSY WARNING AT 51:07!!!! I'm not linking the levels because they're very bad and I can't be bothered with how many there are. :P Don't own the game, ...",d6k-z0WL6yw,True,True
96,MEGAFUCKERXXXXXVII [EPILEPSY WARNING],"FEAT. ANONYMA, THEBRAVEPOTATO AND DISPENCAHEREBOINK THE ULTIMATE MLG SERIES OF ALL TIMES! NOTHING STANDS UP TO THE AMOUNT ...",a1LK6p6TuPg,False,True
97,The Imperators 2017 - DJ Loppetiss Feat. Olav Haust & D4R (Epilepsy Warning),video: Russevisual@gmail.com.,ar0FYQcJEVU,False,True
98,PUSHER ANIMATION MEME [HORROR+EPILEPSY WARNING] (READ DESC),Warning this video may be too unsettling for any sensitive viewers! 23 frames in total. rip :( This Knife OC is based off a character from an RPG who's assumably ...,2uDi4P3xfyo,False,True
99,[EPILEPSY WARNING] Akali's Knife Party - Centipede map + Vext's Konata Rave Party Skin,"Trippy as fuck, sorry for the frame rate, it's better if you try it yourself. Youtube also killed the video :I Map: https://osu.ppy.sh/s/150945 Skin: ...",1unvBFJZW10,False,True
100,Red lips meme *ORIGINAL*(!EPILEPSY WARNING!),READ MEH BEFORE U WATCH ----------------------------------------------------- Don't watch if u get nightmeres easly or if u have epylepsy cuz HUGE SEIZURE ...,z7rmaodsQ-I,False,True
101,MMD APH - Taking Over Me [Dreamtalia] **Epilepsy Warning!**,"CREDITS song: Evanescence - Taking Over Me motion: Shuu Kung models: Nachi Akira (Fauchereve edit by Agent064Pixels) effects: Diffusion7, HgDiffusion, ...",LIZrMUqXb8c,False,True
102,Friends - AJMV (seizure/epilepsy warning?),Happy Thanksgiving guys!,83ai-vXJ6f8,False,True
103,Keith Kogane | Can you feel my heart | HBD Arisu! ♥ [EPILEPSY WARNING & S6 SPOILERS],"[EPILEPSY WARNING] here you goddamn potato, ILY AND THIS IS FOR YOU.",DOor8VvvwWQ,True,True
104,So Hype for Part 5! (Epilepsy warning),I'M SO EXCITED! Deku shaking from http://catoverlord.tumblr.com/post/142305120697 Vento Aureo France screening from ...,vKSKxmJyV0I,False,True
105,EPILEPSY WARNING - John Wayne Gacy Crawlspace Excavation Footage From Late 1970's,VIEWERS PLEASE BE ADVISED THIS VIDEO IS NOT FOR EPILEPTIC VIEWERS DUE TO POOR QUALITY FILMING WITH COLORS AND FLASHING!,QGkv3H_2R9k,False,True
106,Ziku-Driver Next Time Standby Loop (WIP) | EPILEPSY WARNING!,,o4iyOCXrsLA,False,True
107,Ouma Sketch Speedpaint [Epilepsy Warning],"The original 1 hour, 6 minutes and 20 seconds version can be downloaded here: https://drive.google.com/open?id=1GpAdlfFwRuKeHB9bbQSFJctWznoIIuAG ...",O_EnAqJFM28,False,True
108,SVDDEN DEATH & Somnium Sound - Angel Style | LYRICS! | (EPILEPSY WARNING!!!),AAAAAAAAAAAAAAAAAAAAAAAA ================================= Patreon: https://www.patreon.com/pungenttowel?alert=2 Twitter: ...,iP25oEVI1LM,False,True
109,(YTP) Charmx Eats LSD Sos (EPILEPSY WARNING!!),"I hope you enjoy the video!! Make sure to share the video, leave a like, subscribe, and comment!! Have a nice day!! :D JOIN THE POST NOTIFICATION SQUAD!",8YV0SdzkyWc,False,True
110,Trippy Psychedelic Video #1 EPILEPSY WARNING!,Hello I hope you enjoy this trippy video EPILEPSY WARNING!,MiR8We0ap_M,True,True
111,MY NINTENDO 3DS WENT CRAZY (EPILEPSY WARNING),Subscribe to KrimZenTv : https://www.youtube.com/KrimZenTV Become a supporter here: https://www.patreon.com/PIMPNITE Follow me On Twitter: ...,FoeGr5NPT8E,False,True
112,Shhh Mi$ery wip (EPILEPSY WARNING),"A W.I.P of the ""Shhh"" By Mi$ery animation meme. MegaMan © Capcom™ Art © Reploid of Nightmares.",RgZDIKH7QEc,False,True
113,modded epilepsy warning PS3,,lPDh68g8cCQ,False,True
114,How To Edit Your PS3 Epilepsy Warning SCREEN On StartUp German Tutorial,READ DESCRIPTION ↓ Music By https://www.youtube.com/watch?v=pl60s9ce9eY ✓Pls Help me to get 5000 subscriber 1.Like the video 2.Subscribe my ...,i1XIOzkofWc,False,True
115,"Sidewalk Chalk ""Dig"" Official Video (EPILEPSY WARNING)","From An Orchid Is Born, out June 2, 2017 on Ropeadope Records. iTunes: http://apple.co/2peokCA Created by Jack Blanket http://www.sidewalk-chalk.com/ ...",rb_lw4LeyDY,False,True
116,LPS Tik Tok by Ke$ha EPILEPSY WARNING!,WARNING: This video includes strobe lights!!!,cinJVNHe4R0,False,True
117,WOW (meme)(EPILEPSY WARNING),"""""""original animation meme"""""""" by me. if i was to work on this any longer i would blow my brains out so please take it. thanx song src: ...",Swfb7QyXtAk,False,True
118,My oldest video re edited (Epilepsy Warning),The original video was uploaded in 2016 it can still be seen to this day. Original video: https://www.youtube.com/watch?v=o-WyE-SNi0k Song: ...,FW7B4sXl8fE,False,True
119,{SFM ~ FNAF} Danger 2 Part for ๖ۣۜOCTAVIO [EPILEPSY WARNING],it dun.,53LWNKTGczE,False,True
120,MMD APH - La Llorona [Halloween Special] **EPILEPSY WARNING**,...,H5iz758n5Oo,False,True
121,☆ WIP MEP DUMP | Detroit: Become Human ☆ (Epilepsy warning!),"EPILEPSY WARNING WITH PART 2!!!!! love that glitch editing dbh mep dump, i say, as if dbh isn't the only thing i've been editing with sources: ...",Nl3silT8tpU,True,True
122,Beat Hazard 2 - Tongues by aeseaes (Epilepsy Warning),300% Visual Intensity Suicidal difficulty.,BPC4SW24l2Q,False,True
123,[1.4 SECONDS!] The World's Fastest 4x4 Seamless Glass Piston Door! [EPILEPSY WARNING!],EPILEPSY WARNING! This video can potentially trigger seizures for people with photosensitive epilepsy! Viewer disrection is advised. IT HAS FINALLY COME!,FJxhsxbnIo0,True,True
124,[EPILEPSY WARNING AND DISTURBING IMAGE] Losing My Mind Meme,"Original By TheKibbleMeister: https://youtu.be/-3rdbR6maOU Inspired By Star's Taco: https://youtu.be/WR-qoh9kudQ Character: Willow The Wolfycat, She Is A ...",OZabsqZbNRo,False,True
125,【Music】Ego Guideline Club (ft. Dead Critic) | Super Pony World | EPILEPSY WARNING,Song starts at: 0:15 SUPER PONY WORLD IS OUT! BUY THE ALBUM BELOW Props to Reverie for the visuals on this one. Check out his Chanel below; he's ...,k39ZSL5TTPo,False,True
126,EPILEPSY WARNING!!! Osu Mania 4K beatmaps,A rhythm game that I love to play. I have a lot of fun playing and recording this and I hope you guys like it as much as I do. beatmaps: 4K Training Camp 0:00 ...,HUZftfyrJB8,False,True
127,CPS | Animaton Meme (Epilepsy warning),"Sorry this looks pretty bad, whoops I did it on a whim really fast. You're not supposed to know who this is about, but if it is about you, you know who you are.",3YZRj-CkbWM,False,True
128,Focus (Gentalmen's Remix) (EPILEPSY WARNING),"LEFT, RIGHT, LEFT, LEFT, LEEEEFFTTTT.....SHIT Also, fuck YouTube Compression. Download: https://soundcloud.com/mentalgen/focus-gentalmens-remix ...",na8Aal0eww0,False,True
129,Monstruation - Čekání na výsledky (EPILEPSY WARNING),"Tvůrce doprovodů: https://www.youtube.com/watch?v=gMwmdSJhPQs Text: Čekání! 4x Jak po mně, můžou čekání chtít?! Proč musím, všechno nejasné mít?",R3U0dQByiOo,False,True
130,"(Read Description) Someday  - Rainbow, Fulgurites (Epilepsy Warning?)",Warning: there are a lot of flashing lights in this game and the occasional jump scare. There is an area with scrolling arrows and you move fast. I'm getting every ...,T7iTVJdu-W0,False,True
131,ＤＩＶＩＮＥ | meme | (epilepsy warning),original : https://www.youtube.com/watch?v=dsqIzV1UvZc Song : https://www.youtube.com/watch?v=0_6gO7oMLuk I draw with only a mouse Programs : - Paint ...,6EJ6xJQ8VgU,False,True
132,JF eats pizza. Cringe. Fooling around. Video effects. EPILEPSY WARNING: Flashing lights and colors.,JF eats pizza. Cringe. Fooling around. Testing video effects. EPILEPSY WARNING: Flashing lights and colors.,XeIUDGnAOZU,True,True
133,ULTIMATE CIRCLES - [EPILEPSY WARNING!] Geometry Dash [2.0] - By: (Me),"[Subscribe, Like & Share for more!] ID: 13704546 ! Pass: 16187 . Sorry for late pass YESSS, few hours of verifying, after yelling tons of f***'s, I finally verified it.",_VK5xqxDzSw,False,True
